ansatz,reps,optimizer,n_qubits,n_params,circuit_depth,jz,E_vqe,E_exact,energy_error,Spi_vqe,Spi_exact,wall_time,mean_abs_error,max_abs_error,total_time_s
efficient_su2,1,SPSA,4,16,7,-3.0,-8.91526220629506,-9.0,0.0847377937049405,-0.5088699690164906,-0.5,3.701608896255493,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-2.75,-2.1785317519086598,-8.25,6.071468248091341,-0.20148176609747426,-0.5,3.471489906311035,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-2.5,-7.390181394741414,-7.5,0.10981860525858611,-0.49351945147434695,-0.5,3.421025037765503,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-2.25,-2.578622869454908,-6.75,4.171377130545093,-0.2222323672883073,-0.5,3.4098289012908936,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-2.0,-5.8510153623891386,-6.0,0.14898463761086145,-0.4811517059643542,-0.5,3.617461919784546,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-1.75,-3.997385248051896,-5.25,1.2526147519481041,-0.34251670096187153,-0.5,3.5772128105163574,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-1.5,-4.450548531993573,-4.5,0.04945146800642686,-0.49850313517350026,-0.5,3.45902419090271,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-1.25,-3.5904752667368975,-3.75,0.15952473326310246,-0.4752394394510285,-0.5,3.5138299465179443,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-1.0,-2.9577250003997873,-3.0,0.04227499960021275,-0.2850065854672544,-0.5,3.5029759407043457,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-0.75,-3.0327101664473153,-3.2881543834100757,0.25544421696276043,0.13811260042643916,0.268611278398783,3.3750479221343994,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-0.5,-3.3493204795553706,-3.639409959505632,0.29008947995026135,0.34148694231440174,0.3548377264558783,3.3656368255615234,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,-0.25,-3.742933655785814,-4.0376786899823,0.29474503419648634,0.4004819413614426,0.4306106243562941,3.56990385055542,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,0.0,-3.5384842163422836,-4.472135954999569,0.9336517386572853,0.41930995225138623,0.4999999999999999,3.489078998565674,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,0.25,-4.337756322203503,-4.935857950077218,0.5981016278737155,0.4300050780857412,0.5652888224803903,3.48549485206604,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,0.5,-5.088230179632385,-5.424343992020237,0.3361138123878522,0.4713699320262096,0.6275332208810533,3.700147867202759,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,0.75,-3.1679441040956076,-5.934512688095611,2.766568584000004,0.60588332003569,0.6871010637995336,3.5306339263916016,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,1.0,-5.988332492420224,-6.4641016151377535,0.47576912271752914,0.6222202835443293,0.7440169358562931,3.4426376819610596,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,1.25,-4.229819752021895,-7.011323553776188,2.781503801754293,0.6708867764125608,0.7981617595112198,3.43137264251709,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,1.5,-6.908191938124962,-7.574673582515112,0.6664816443901502,0.5025198638526462,0.8493836393885659,3.4359548091888428,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,1.75,-3.1216520169521886,-8.152822983208706,5.031170966256518,0.7476510974322899,0.8975561416959063,3.5964691638946533,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,2.0,-8.365383057869764,-8.744562646538014,0.37917958866825074,0.9301409148500194,0.9426051291782762,3.4192628860473633,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,2.25,-5.667767732389795,-9.348774265635189,3.6810065332453945,0.8391700679621003,0.9845167579476416,3.4454829692840576,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,2.5,-9.590060010052236,-9.9644166146696,0.37435660461736475,1.048194582861623,1.023334574203839,3.5139918327331543,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,2.75,-7.118896411550432,-10.590519502904307,3.471623091353875,0.6809070055826791,1.0591508988685487,3.372344970703125,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,SPSA,4,16,7,3.0,-10.176299735169478,-11.226181168649887,1.0498814334804099,1.0094567077442278,1.0920958902926141,3.398637056350708,1.4190375859416327,6.071468248091341,87.2465558052063
efficient_su2,1,COBYLA,4,16,7,-3.0,-8.850254430267968,-9.0,0.14974556973203157,-0.4836622681298092,-0.5,1.9067630767822266,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-2.75,-8.136985927252065,-8.25,0.1130140727479354,-0.48914054673965823,-0.5,1.317106008529663,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-2.5,-7.381514430471109,-7.5,0.11848556952889133,-0.4896870762228704,-0.5,1.1971158981323242,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-2.25,-6.660626709376983,-6.75,0.08937329062301735,-0.4805137714295122,-0.5,1.2328341007232666,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-2.0,-5.903743407315864,-6.0,0.09625659268413589,-0.4996074779321923,-0.5,1.3658051490783691,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-1.75,-5.174753261495193,-5.25,0.07524673850480657,-0.4988010952257077,-0.5,1.222393274307251,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-1.5,-4.447173403634467,-4.5,0.05282659636553344,-0.4803638763094628,-0.5,1.3572337627410889,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-1.25,-3.695077776171519,-3.75,0.054922223828481,-0.4824916567420657,-0.5,1.4878108501434326,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-1.0,-2.9631637690390322,-3.0,0.036836230960967775,-0.49715878806583524,-0.5,1.3937652111053467,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-0.75,-2.2043543573993887,-3.2881543834100757,1.083800026010687,-0.4877621454394355,0.268611278398783,1.3554701805114746,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-0.5,-1.456817950452137,-3.639409959505632,2.182592009053495,-0.48529290599862596,0.3548377264558783,1.2423529624938965,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,-0.25,-0.750770966984414,-4.0376786899823,3.2869077229978862,-0.48961597899027853,0.4306106243562941,1.4625210762023926,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,0.0,-4.07874369553328,-4.472135954999569,0.39339225946628886,0.42209867682542335,0.4999999999999999,1.9826250076293945,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,0.25,-4.536526640018016,-4.935857950077218,0.3993313100592024,0.4452011673436703,0.5652888224803903,1.4573581218719482,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,0.5,-5.025801697074911,-5.424343992020237,0.3985422949453259,0.45854208888367154,0.6275332208810533,1.4332451820373535,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,0.75,-5.51463863868003,-5.934512688095611,0.41987404941558104,0.4855910846652546,0.6871010637995336,1.4324889183044434,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,1.0,-5.991589004781924,-6.4641016151377535,0.4725126103558299,0.5090144096776433,0.7440169358562931,1.5018320083618164,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,1.25,-6.505273652979871,-7.011323553776188,0.5060499007963175,0.4919038982275526,0.7981617595112198,1.3696608543395996,0.6586857057021044,3.2869077229978862,35.03843140602112
efficient_su2,1,COBYLA,4,16,7,1.5,-6.978509711666045,-7.574673582515112,0.5961638708490673,0.4962840672399664,0.8493836393885659,1.2101891040802002,0.6586857057021044,3.2869077229978862,35.03843140602112
